index,id,bestName,catalogLabel,archiveFilename,fileSize,progType,category,platform,aolVersion,author,authorConfidence,categoryConfidence,versionConfidence,sourceConfidence,localFile,referenceUrl,rawSourceUrl,oldWebDownloadLinks,mirrorLeads,webResearchMentions,screenshots,embeddedUrls,manualReviewFlags,tags,detailPage
1,prog-0001-411,! 411 !,! 411 !,411.zip,116 KB,Unknown / needs review,uncategorized,AOL,AOL 4.0,unknown,unknown,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0001-411.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/411.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/411.zip,1,1,0,0,0,author unknown; category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized,docs/generated/applications/pages/0-9-symbols/0001-411.md
2,prog-0002-ufg-linker-2ooo,(^'»UFG Linker ²ººº,(^'»UFG Linker ²ººº,ufg.zip,40 KB,Linker / chat linker,chat or IM tool,AOL,AOL 4.0,aCe,catalog only,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0002-ufg-linker-2ooo.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ufg.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ufg.zip,1,0,0,0,0,no screenshot or image lead; no readable text evidence,aol; aol-4-0; chat-or-im-tool; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review,docs/generated/applications/pages/0-9-symbols/0002-ufg-linker-2ooo.md
3,prog-0003-upchat-4-o,+UPchat 4.o+,+UPchat 4.o+,upchat1.zip,1.3 MB,Unknown / needs review,uncategorized,AOL,AOL 4.0,xQxTooL2,catalog only,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0003-upchat-4-o.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/upchat1.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/upchat1.zip,1,0,0,0,0,category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized,docs/generated/applications/pages/0-9-symbols/0003-upchat-4-o.md
4,prog-0004-new-breed,- -New Breed- -,- -New Breed- -,newbreed.zip,3.9 MB,Account / TOS utility,uncategorized,AOL,AOL 4.0,unknown,unknown,readme/archive text,catalog bucket,local + old-web lead,files/aol/aol-4-0/0004-new-breed.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/newbreed.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/newbreed.zip,1,0,0,0,0,author unknown; category uncertain; no screenshot or image lead,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-purpose-clues; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0004-new-breed.md
5,prog-0005-in-flames,- [ In Flames ] -,- [ In Flames ] -,inflames.zip,2.0 MB,Unknown / needs review,uncategorized,AOL,AOL 4.0,unknown,unknown,needs review,catalog bucket,local + old-web lead,files/aol/aol-4-0/0005-in-flames.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/inflames.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/inflames.zip,2,0,0,0,0,author unknown; category uncertain; type uncertain; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0005-in-flames.md
6,prog-0006-mxer-xer,-[Mxer Xer]-,-[Mxer Xer]-,mxer.zip,1.6 MB,Fader / text styler,fader or text tool,AOL,AOL 4.0,unknown,unknown,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0006-mxer-xer.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/mxer.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/mxer.zip,1,0,0,0,0,author unknown; no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-p-code; duplicate-metadata; fader-or-text-tool; file-ready; has-old-web-downloads; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0006-mxer-xer.md
7,prog-0007-eep-bsess-2-0,Deep Obsess 2.0,-eep -bsess 2.0,deep obsess 2.0 for aol 5.0.zip,979 KB,Unknown / needs review,uncategorized,AOL,AOL 5.0,unknown,unknown,needs review,filename/source inferred,local + old-web lead,files/aol/aol-5-0/0007-eep-bsess-2-0.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/deep%20obsess%202.0%20for%20aol%205.0.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/5.0/deep%20obsess%202.0%20for%20aol%205.0.zip,1,0,0,0,0,author unknown; category uncertain; type uncertain; no screenshot or image lead,aol; aol-5-0; duplicate-metadata; file-ready; has-old-web-downloads; needs-manual-review; uncategorized,docs/generated/applications/pages/0-9-symbols/0007-deep-obsess-2-0.md
8,prog-0008-le-anti,-Le- anti,-Le- anti,lethal empire anti aol9-9.1 yr08 xp vista.zip,1.4 MB,AOL/AIM chat utility,uncategorized,AOL,"AOL 4.0; inferred: AOL 9-9.1; archive text: AOL 7.0, AOL 9.1",unknown,unknown,readme/archive text,readme/archive text,local + old-web lead,files/aol/aol-4-0/0008-le-anti.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/lethal%20empire%20anti%20aol9-9.1%20yr08%20xp%20vista.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/lethal%20empire%20anti%20aol9-9.1%20yr08%20xp%20vista.zip,1,0,0,0,0,author unknown; category uncertain; no screenshot or image lead,aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-aol-version-clues; has-readme-purpose-clues; needs-manual-review; uncategorized; vb6,docs/generated/applications/pages/0-9-symbols/0008-le-anti.md
9,prog-0009-le-idler,-Le- idler,-Le- idler,lethalempireidler.zip,1.4 MB,Idler / AFK bot,idler or bot,AOL,"AOL 4.0; archive text: AOL 7.0, AOL 9.1",unknown,unknown,readme/archive text,readme/archive text,local + old-web lead,files/aol/aol-4-0/0009-le-idler.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/lethalempireidler.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/lethalempireidler.zip,1,0,0,0,0,author unknown; no screenshot or image lead,aol; aol-4-0; compile-native; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-aol-version-clues; has-readme-purpose-clues; idler-or-bot; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0009-le-idler.md
10,prog-0010-spitfire-idle-1-2-beta,-spitfire- idle 1.2 beta,-spitfire- idle 1.2 beta,spitfireidlev12b.zip,1.6 MB,Idler / AFK bot,idler or bot,AOL,AOL 4.0,Spitfire,catalog only,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0010-spitfire-idle-1-2-beta.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/spitfireidlev12b.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/spitfireidlev12b.zip,1,0,0,0,0,no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; idler-or-bot; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0010-spitfire-idle-1-2-beta.md
11,prog-0011-spitfire-idle-v2-0-beta,-spitfire- idle v2.0 beta,-spitfire- idle v2.0 beta,spitfirev2beta.zip,1.8 MB,Idler / AFK bot,idler or bot,AOL,AOL 4.0,Spitfire,catalog only,catalog/path inferred,catalog bucket,local + old-web lead,files/aol/aol-4-0/0011-spitfire-idle-v2-0-beta.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/spitfirev2beta.zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/spitfirev2beta.zip,1,0,0,0,0,no screenshot or image lead; no readable text evidence,aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; idler-or-bot; needs-manual-review; vb6,docs/generated/applications/pages/0-9-symbols/0011-spitfire-idle-v2-0-beta.md
12,prog-0012-ss-ggs,-ss GGs,-ss GGs,ass gas (password=own).zip,4.2 MB,Account / TOS utility,account or TOS tool,AOL,AOL 4.0,Tate,catalog only,readme/archive text,catalog bucket,local + old-web lead,files/aol/aol-4-0/0012-ss-ggs.zip,https://github.com/ssstonebraker/aolunderground-proggies/blob/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ass%20gas%20(password%3Down).zip,https://raw.githubusercontent.com/ssstonebraker/aolunderground-proggies/main/programs/AOL/proggies-sorted-deduped/proggies-by-version/4.0/ass%20gas%20(password%3Down).zip,1,0,0,0,0,no screenshot or image lead; sensitive historical category,account-or-tos-tool; aol; aol-4-0; compile-p-code; duplicate-metadata; file-ready; has-old-web-downloads; has-readme-purpose-clues; needs-manual-review; password-metadata; vb5,docs/generated/applications/pages/0-9-symbols/0012-ss-ggs.md
